T_K,P_atm,solver_used,iterations,residual_norm,n_Ar,n_Ar_p,n_Ar2_p,n_Ar3_p,n_Ar4_p,n_e,charge_residual,eos_residual_Pa,deltaP_DH_Pa
23500.0,1.0,custom_newton,4,1.9070982953107563e-13,1.0282540508929014e+21,1.1715704556467802e+23,2.65691820018742e+22,3.383965687289563e+18,79451094400.78432,1.7030556146580082e+23,-5268045824.0,1.9063008949160576e-08,898.1212905521387
23700.0,1.0,custom_newton,4,2.070986543813017e-13,9.423407823691535e+20,1.1227428065101587e+23,2.8977810443605178e+22,4.4485197018385495e+18,135184395131.73224,1.7024324709786526e+23,-7214202880.0,2.051820047199726e-08,910.3798793499644
23900.0,1.0,custom_newton,4,2.1970967861597364e-13,8.629791708551203e+20,1.0731790323941718e+23,3.1448369012501706e+22,5.799943789600978e+18,227093074060.819,1.7023204109669004e+23,-7751073792.0,2.1798769012093544e-08,923.4282308625258
24100.0,1.0,custom_newton,4,2.2546990892410328e-13,7.896084653187004e+20,1.0231358239495621e+23,3.3963284201764825e+22,7.501355429490518e+18,376782052967.61584,1.7026265486627488e+23,-6576668672.0,2.255546860396862e-08,937.087047612884
24300.0,1.0,custom_newton,4,2.2932827871151797e-13,7.217452029093233e+20,9.728822248890835e+22,3.6504127945573858e+22,9.626324630418854e+18,617663120725.0452,1.703253573564113e+23,-6677331968.0,2.2817403078079224e-08,951.1670925798987
24500.0,1.0,custom_newton,4,2.2682997740273068e-13,6.589703808678237e+20,9.226929531542068e+22,3.9052069681979474e+22,1.2259986829133797e+19,1000830093752.2804,1.7041021464386213e+23,-8187281408.0,2.242450136691332e-08,965.4736231507284
24700.0,1.0,custom_newton,4,2.1805245768812306e-13,6.009181714952126e+20,8.72841714403161e+22,4.158832833466571e+22,1.550021229911743e+19,1603586164998.9082,1.705073287529523e+23,-6912212992.0,2.1653249859809875e-08,979.8110212256535
24900.0,1.0,custom_newton,4,2.0652183669450772e-13,5.472660727518318e+20,8.23594800516703e+22,4.409460452872841e+22,1.9458838152507625e+19,2541707494405.6064,1.7060706563374416e+23,-7314866176.0,2.0459992811083794e-08,993.9874135701598
25100.0,1.0,custom_newton,4,1.9113846396764106e-13,4.97726411832802e+20,7.752052276621965e+22,4.655347590717405e+22,2.426297061936926e+19,3986928131260.245,1.7070026350836626e+23,-7314866176.0,1.885928213596344e-08,1007.8190822581382
25300.0,1.0,custom_newton,4,1.7264523110066616e-13,4.520391311014722e+20,7.27907619557301e+22,4.894874169786314e+22,3.0056366473909002e+19,6191666553100.197,1.7077841447563872e+23,-6039797760.0,1.7113052308559418e-08,1021.1344830466688
25500.0,1.0,custom_newton,4,1.5392111505587308e-13,4.09965787283168e+20,6.819139866328454e+22,5.126570637844431e+22,3.700090314306216e+19,9523723794736.607,1.7083381416769217e+23,-5066719232.0,1.5308614820241928e-08,1033.7777179209115
25700.0,1.0,custom_newton,4,1.3297623045131216e-13,3.712846884461441e+20,6.374104948839134e+22,5.349139612429746e+22,4.527814709583584e+19,14514618369071.043,1.7085967623632737e+23,-4865392640.0,1.3154931366443634e-08,1045.611344407017
25900.0,1.0,custom_newton,4,1.1395626070820806e-13,3.3578708189911456e+20,5.9455526270233605e+22,5.561470547208257e+22,5.5091029507602194e+19,21926448105762.742,1.7085021039062357e+23,-3791650816.0,1.127773430198431e-08,1056.5184456948646
26100.0,1.0,custom_newton,4,9.873895666939283e-14,3.032742926323621e+20,5.534771726609108e+22,5.762647510133462e+22,6.666563687892106e+19,32843763740375.816,1.708006645107691e+23,-3053453312.0,9.633367881178856e-09,1066.403929011649
26300.0,1.0,custom_newton,4,8.083710359877007e-14,2.735556990403618e+20,5.1427564027826514e+22,5.951950467775959e+22,8.02531222428782e+19,48799002844266.06,1.707073329452687e+23,-1610612736.0,8.09086486697197e-09,1075.195061889996
26500.0,1.0,custom_newton,4,6.596448064709853e-14,2.4644742266958637e+20,4.770212449246506e+22,6.128850719858746e+22,9.613173982085492e+19,71942687652420.19,1.705675343968724e+23,-872415232.0,6.5338099375367165e-09,1082.841294064073
26700.0,1.0,custom_newton,4,5.19830623229726e-14,2.2177160327597965e+20,4.4175710038282346e+22,6.2930013153577375e+22,1.1460900250623705e+20,105272985718735.45,1.703795637740466e+23,-1174405120.0,5.165929906070232e-09,1089.31344428814
26900.0,1.0,custom_newton,4,4.154278965673733e-14,1.9935613044589127e+20,4.085008247131137e+22,6.444223402656448e+22,1.3602395740439555e+20,152943548887316.6,1.701426230084263e+23,-1409286144.0,4.147295840084553e-09,1094.6023547046022
27100.0,1.0,custom_newton,4,3.219039118067416e-14,1.7903470855211103e+20,3.7724696091052575e+22,6.582489521673212e+22,1.6074956987400877e+20,220674001034347.03,1.698567361168337e+23,-1174405120.0,3.041350282728672e-09,1098.7171296482431
27300.0,1.0,custom_newton,4,2.741931412332809e-14,1.6064714232337593e+20,3.479697006819347e+22,6.707904840375517e+22,1.891952011328075e+20,316294297068475.7,1.6952265374427888e+23,-503316480.0,2.6193447411060333e-09,1101.683080993526
27500.0,1.0,custom_newton,4,2.218395592247796e-14,1.4403974472336535e+20,3.2062577225866385e+22,6.820687280188302e+22,2.2180915852714223e+20,450462729780983.25,1.6914175210706483e+23,67108864.0,1.8480932340025902e-09,1103.539499158748
27700.0,1.0,custom_newton,4,1.7936842621222814e-14,1.2906578578166882e+20,2.9515736783018705e+22,6.9211473758085764e+22,2.5908129101677078e+20,637607973098584.1,1.6871593072267183e+23,-570425344.0,1.57160684466362e-09,1104.3373591120303
27900.0,1.0,custom_newton,4,1.73952558285281e-14,1.1558591902925975e+20,2.7149500504965755e+22,7.009668587689187e+22,3.015455952693154e+20,897158630166152.2,1.682475126331913e+23,-671088640.0,1.2514647096395493e-09,1104.1370559893726
28100.0,1.0,custom_newton,4,1.3319736210499826e-14,1.0346853990618717e+20,2.4956023820645785e+22,7.0866886429666406e+22,3.497827899513035e+20,1255139768639925.0,1.6773915007039166e+23,67108864.0,8.149072527885437e-10,1103.0062471712556
28300.0,1.0,custom_newton,4,8.427963633979238e-15,9.259004682007295e+19,2.2926815632319587e+22,7.152682334826006e+22,4.04422807296378e+20,1746235395215838.0,1.671937377356699e+23,-503316480.0,6.402842700481415e-10,1101.017858704831
