E_eV,Qm_A2,source,database,process,target
308.0295,0.44095,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
318.8895,0.42194,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
330.1311,0.40227,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
341.7678,0.38191,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
353.8134,0.36083,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
366.2823,0.33901,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
379.1894,0.31642,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
392.5501,0.29304,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
406.3803,0.27894,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
435.5158,0.27408,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
466.7351,0.26888,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
