E_eV,Qm_A2,source,database,process,target
3.5375,5.2932,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
3.6735,5.5141,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
3.8096,5.7386,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
3.9457,5.9667,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
4.0817,6.1984,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
4.2178,6.4333,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
4.3538,6.6716,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
4.4899,6.9129,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
4.6259,7.1571,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
4.762,7.4036,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
4.8981,7.6527,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
5.0341,7.9039,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
5.1702,8.1572,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
5.3062,8.4121,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
5.4423,8.6686,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
5.5783,8.9266,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
5.7144,9.1858,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
5.8505,9.4459,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
5.9865,9.7064,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
6.1226,9.9674,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
