E_eV,Qm_A2,source,database,process,target
7.02,11.00396,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
7.22,11.4243,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
7.78,12.48326,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
8,12.87124,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
8.02,12.86879,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
9,14.57585,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
9.02,14.56824,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
9.14,14.76699,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
10,15.76139,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
11,16.30797,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
12,16.64755,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
13,16.06473,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
14,15.1642,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
15,13.91178,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
16,12.62412,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
17,11.25998,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
18,10.07617,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
19,9.07048,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
20,8.104003,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
25,5.347586,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
30,4.207336,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
35,3.52931,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
