T_K,P_atm,P_bar,massf1,massf2,matf_rho_kg_m3,matf_h_J_kg,matf_cp_J_kgK,matf_mu_Pa_s,matf_kappa_W_mK,matf_sigma_S_m
28300.0,0.1,0.101325,0.0,0.0,0.0005791828491666667,153520975.0,6884.702416666666,2.6882730333333334e-06,3.5253872083333335,7851.5495083333335
28500.0,0.1,0.101325,0.0,0.0,0.0005731750458333333,154940356.6666667,7237.751241666667,2.675711825e-06,3.5723057583333335,7886.207808333333
28700.0,0.1,0.101325,0.0,0.0,0.0005671612616666666,156429340.8333333,7636.268708333334,2.6616815333333334e-06,3.6190282833333334,7918.477591666668
28900.0,0.1,0.101325,0.0,0.0,0.0005611406133333334,157997839.1666667,8077.8654166666665,2.6458795083333334e-06,3.665753900000001,7948.257533333334
29100.0,0.1,0.101325,0.0,0.0,0.0005550927475,159665851.6666667,8559.852850000001,2.628004425e-06,3.712183491666667,7975.248958333333
29300.0,0.1,0.101325,0.0,0.0,0.0005489977524999999,161423466.66666666,9078.546025,2.607754516666667e-06,3.758416616666667,7999.649216666667
29500.0,0.1,0.101325,0.0,0.0,0.0005428746566666667,163300595.83333334,9629.663491666668,2.5849275749999998e-06,3.8043528333333336,8021.159191666667
29700.0,0.1,0.101325,0.0,0.0,0.0005366935925,165287239.16666666,10208.224683333334,2.5595213916666666e-06,3.8499925833333335,8039.8766749999995
29900.0,0.1,0.101325,0.0,0.0,0.0005304645158333333,167383485.0,10808.054775,2.531433758333333e-06,3.8952354249999996,8055.801666666666
30000.0,0.1,0.101325,0.0,0.0,0.0005273255295833333,168496387.08333334,11115.0192875,2.516047891666667e-06,3.9176583916666674,8062.417033333334
300.0,1.0,1.01325,0.0,0.0,1.6442003333333333,963.69,520.35,2.2681999999999997e-05,0.017705000000000002,1.6134e-05
500.0,1.0,1.01325,0.0,0.0,0.9865297583333333,105030.0,520.35,3.3924e-05,0.026480000000000004,2.2906e-05
700.0,1.0,1.01325,0.0,0.0,0.7046649333333334,209099.99999999997,520.35,4.3329e-05,0.033821,2.9748e-05
900.0,1.0,1.01325,0.0,0.0,0.5480769249999999,313170.0,520.35,5.1201999999999995e-05,0.039967,3.1432999999999995e-05
1100.0,1.0,1.01325,0.0,0.0,0.4484240083333334,417240.0,520.35,5.871599999999999e-05,0.045833,2.9843000000000002e-05
1300.0,1.0,1.01325,0.0,0.0,0.37943212500000006,521309.99999999994,520.35,6.5e-05,0.050738000000000005,2.3573999999999998e-05
1500.0,1.0,1.01325,0.0,0.0,0.3288405083333334,625380.0,520.36,7.0767e-05,0.055243,1.8334e-05
1700.0,1.0,1.01325,0.0,0.0,0.29015435833333336,729460.0,520.3895583333333,7.6653e-05,0.05985886750000001,1.5148e-05
1900.0,1.0,1.01325,0.0,0.0,0.25961465000000006,833540.0,520.4891166666666,8.353999999999999e-05,0.06531647,1.3902000000000002e-05
2100.0,1.0,1.01325,0.0,0.0,0.23489135000000003,937659.5583333332,520.688675,9.0474e-05,0.070883205,1.2739999999999998e-05
2300.0,1.0,1.01325,0.0,0.0,0.21446414166666666,1041800.0,520.7504416666667,9.5817e-05,0.07506248583333335,1.0616044166666667e-05
2500.0,1.0,1.01325,0.0,0.0,0.19730021666666667,1145900.0,520.5213249999999,0.00010112,0.07903683916666666,9.08641325e-06
2700.0,1.0,1.01325,0.0,0.0,0.182688975,1250000.0,520.3904416666667,0.00010655999999999998,0.083211265,8.0077e-06
2900.0,1.0,1.01325,0.0,0.0,0.17008423333333336,1354100.0,520.3604416666667,0.00011237,0.08773304416666668,7.2792e-06
3100.0,1.0,1.01325,0.0,0.0,0.1591106916666667,1458200.0,520.36,0.00011809,0.09219500000000001,4.378196999999999e-05
3300.0,1.0,1.01325,0.0,0.0,0.14947437500000002,1562200.0,520.36,0.00012319999999999999,0.09618600000000001,0.00025437095833333334
3500.0,1.0,1.01325,0.0,0.0,0.14093263333333333,1666300.0,520.36,0.00012826,0.10014,0.00121068825
3700.0,1.0,1.01325,0.0,0.0,0.13331325833333332,1770400.0,520.36,0.00013332,0.10408,0.0048780674999999996
3900.0,1.0,1.01325,0.0,0.0,0.12647404166666668,1874500.0,520.36,0.00013841,0.10805999999999999,0.017082764166666667
4100.0,1.0,1.01325,0.0,0.0,0.12030321666666668,1978500.0,520.36,0.00014344,0.11199000000000002,0.05290428249999999
4300.0,1.0,1.01325,0.0,0.0,0.1147099,2082600.0,520.36,0.0001483,0.11579000000000002,0.146988375
4500.0,1.0,1.01325,0.0,0.0,0.10961320833333334,2186700.0,520.3795583333333,0.00015310999999999998,0.11955,0.3726101
4700.0,1.0,1.01325,0.0,0.0,0.10495225833333334,2290800.0,520.4,0.00015788,0.12329955833333334,0.871345775
4900.0,1.0,1.01325,0.0,0.0,0.10066425500000001,2394800.0,520.4591166666667,0.00016261999999999998,0.12704955833333334,1.896640083333333
5100.0,1.0,1.01325,0.0,0.0,0.096716845,2499900.0,521.1086750000001,0.00016732,0.13093867500000003,3.868428416666667
5300.0,1.0,1.01325,0.0,0.0,0.09306723333333333,2604000.0,519.4282333333332,0.00017195,0.13459823333333334,7.43475475
5500.0,1.0,1.01325,0.0,0.0,0.08968262500000002,2707795.5833333335,518.5460249999999,0.00017654999999999998,0.1384864666666667,13.52351
5700.0,1.0,1.01325,0.0,0.0,0.086535815,2811495.5833333335,518.4229333333333,0.00018110999999999998,0.14255425833333332,23.368926666666663
5900.0,1.0,1.01325,0.0,0.0,0.08360121333333334,2915195.583333333,519.0685166666666,0.00018563,0.14690028333333333,38.4905975
6100.0,1.0,1.01325,0.0,0.0,0.08085926166666668,3019095.583333333,520.5410083333334,0.00019010999999999998,0.15163454166666665,60.65013416666667
6300.0,1.0,1.01325,0.0,0.0,0.07829091583333334,3123486.75,522.9599666666667,0.00019455999999999998,0.1569165916666667,91.78058999999999
6500.0,1.0,1.01325,0.0,0.0,0.0758792925,3228382.3333333335,526.5036249999999,0.00019898,0.16293555,133.907725
6700.0,1.0,1.01325,0.0,0.0,0.07361065666666668,3334169.083333333,531.4306583333333,0.00020335999999999998,0.16995965,189.048375
