T_K,P_atm,rho_kg_m3,h_J_kg,cp_J_kgK
26700.0,1.0,0.007127194417799578,114480254.5019651,11756.445094238035
26900.0,1.0,0.007006835339348271,116805752.82374309,11481.477041303888
27100.0,1.0,0.006891523457029249,119072845.31848666,11175.701525421217
27300.0,1.0,0.006781173863376237,121276033.43391158,10845.778800987564
27500.0,1.0,0.006675663617246895,123411156.83888169,10498.340395498053
27700.0,1.0,0.006574838004989191,125475369.5921108,10139.82174389556
27900.0,1.0,0.006478516663788167,127467085.53643991,9776.323952239789
28100.0,1.0,0.006386499383398285,129385899.17300671,9413.507628775276
28300.0,1.0,0.00629857144997769,131232488.58795002,9056.519180565365
28500.0,1.0,0.006214508441166042,133008506.84523286,8709.947829574496
28700.0,1.0,0.006134080422483811,134716467.71977982,8377.809985445701
28900.0,1.0,0.006057055530031806,136359630.83941114,8063.556565718725
29100.0,1.0,0.005983202952590749,137941890.3460673,7770.098347045108
29300.0,1.0,0.005912295347485363,139467670.17822918,7499.844381083027
29500.0,1.0,0.00584411073941671,140941828.09850052,7254.7488078484685
29700.0,1.0,0.005778433960647428,142369569.70136857,7027.16145702444
29900.0,1.0,0.005715057695391953,143752692.6813103,6876.361667488118
30000.0,1.0,0.0056841698127672235,144432478.201615,6797.855203047096
300.0,4.0,6.491068139723585,156099.1162298976,520.330387432992
500.0,4.0,3.8946408843685534,260165.193716496,520.330387432992
700.0,4.0,2.7818863455528775,364231.2712030944,520.330387432992
900.0,4.0,2.1636893798737673,468297.3486896928,520.330387432992
1100.0,4.0,1.7702913108058107,572363.4261762912,520.330387432992
1300.0,4.0,1.497938807099279,676429.5036628896,520.3303874329918
1500.0,4.0,1.298213629391693,780495.5811494879,520.330387432992
1700.0,4.0,1.1454826133290077,884561.6586360864,520.3303874329918
1900.0,4.0,1.024905495890956,988627.7361226846,520.330387432992
2100.0,4.0,0.9272954485810125,1092693.8136092832,520.3303874330002
2300.0,4.0,0.8466610617171697,1196759.8910958846,520.3303874331963
2500.0,4.0,0.7789281767672573,1300825.9685825617,520.3303874363779
2700.0,4.0,0.721229793297483,1404892.0460704358,520.330387471437
2900.0,4.0,0.6714898075500091,1508958.1235711365,520.3303877531964
3100.0,4.0,0.6281678844791909,1613024.2011717143,520.3303894996835
3300.0,4.0,0.5900971035904604,1717090.27937101,520.3303982202301
3500.0,4.0,0.5563772690491223,1821156.3604598064,520.3304345212475
3700.0,4.0,0.5263028218734522,1925222.453179509,520.3305640155002
3900.0,4.0,0.4993129328845667,2029288.5860660064,520.3309688284446
4100.0,4.0,0.47495620236562286,2133354.8407108868,520.332098380797
4300.0,4.0,0.45286521053220724,2237421.4254183252,520.3349547393806
4500.0,4.0,0.43273785376918383,2341488.822606639,520.3415843543329
4700.0,4.0,0.4143234448545943,2445558.0591600584,520.3558591256291
4900.0,4.0,0.3974122154061706,2549631.1662568906,520.3846316148877
5100.0,4.0,0.3818272858659487,2653711.9118060134,520.4393395526707
5300.0,4.0,0.3674184504052243,2757806.902077959,520.5381135940005
5500.0,4.0,0.35405731393655776,2861927.1572436136,520.7084116625903
5700.0,4.0,0.3416334483467135,2966090.266742995,520.9901668425265
5900.0,4.0,0.3300513254160222,3070323.223980624,521.4393981252774
6100.0,4.0,0.31922784763896006,3174666.025993106,522.1321986495308
6300.0,4.0,0.30909034374377925,3279176.1034404365,523.1689878829138
6500.0,4.0,0.29957492870362534,3383933.6211462715,524.6788948234671
6700.0,4.0,0.2906251521814654,3489047.6613698234,526.8241297523235
6900.0,4.0,0.2821908772072826,3594663.273047201,529.8042022483284
7100.0,4.0,0.27422734421011435,3700969.3422691547,533.8598519404302
7300.0,4.0,0.26669438555335945,3808207.213823373,539.276574147552
7500.0,4.0,0.25955576332408414,3916679.9719281755,546.3876430637692
7700.0,4.0,0.25277860893349186,4026762.2710488806,555.5765582812274
7900.0,4.0,0.24633294755176052,4138910.5952406665,567.2788642204379
8100.0,4.0,0.24019129385956509,4253673.816737056,581.9833145392919
8300.0,4.0,0.23432830829709508,4371703.921056383,600.2323732518474
8500.0,4.0,0.2287205051120343,4493766.766037795,622.6220598155237
8700.0,4.0,0.2233460051871201,4620752.744982593,649.8011557383719
8900.0,4.0,0.21818432796725865,4753687.2283331435,682.4697944203275
9100.0,4.0,0.21321621788149636,4893740.662750724,721.3774531841115
9300.0,4.0,0.2084235015225825,5042238.209606788,767.3203559957444
9500.0,4.0,0.20378897254773148,5200668.805149022,821.1382764313487
9700.0,4.0,0.19929630182831817,5370693.520179328,883.7107021639775
9900.0,4.0,0.1949299708249202,5554153.086014613,955.9522836510419
10100.0,4.0,0.19067522651179267,5753074.433639744,1038.8074398399099
10300.0,4.0,0.18651805643118063,5969676.0619505765,1133.2439315697038
10500.0,4.0,0.18244518262827686,6206372.006267626,1240.245138125983
10700.0,4.0,0.17844407330521983,6465774.11720097,1360.8006836607935
10900.0,4.0,0.17450297103770196,6750692.279731943,1495.8949582068367
11100.0,4.0,0.17061093632028476,7064132.100483704,1646.4929642973514
11300.0,4.0,0.16675790504477875,7409289.465450884,1813.522798171551
11500.0,4.0,0.16293475826894183,7789541.219752325,1997.8539504032256
11700.0,4.0,0.15913340229964582,8208431.045612174,2200.270495066964
11900.0,4.0,0.15534685669680057,8669649.41777911,2421.4381453109977
12100.0,4.0,0.15156934730590774,9177006.303736573,2661.8641101726703
12300.0,4.0,0.14779640085696225,9734395.061848179,2921.8487265609206
12500.0,4.0,0.14402493704092617,10345745.794360941,3201.428006625315
12700.0,4.0,0.14025335331659888,11014966.264498305,3500.3065926842205
12900.0,4.0,0.13648159704685062,11745868.43143463,3817.781220311164
13100.0,4.0,0.13271121896504945,12542078.75262277,4152.6557332447355
13300.0,4.0,0.12894540149920328,13406930.724732524,4503.1500478139005
13500.0,4.0,0.12518895522130027,14343338.77174833,4866.807284388566
13700.0,4.0,0.12144827675030605,15353653.63848795,5240.4055719005455
13900.0,4.0,0.11773126194226007,16439501.000508549,5619.883697901369
14100.0,4.0,0.11404716927850124,17601607.117648497,6000.292584136338
14300.0,4.0,0.11040643013065182,18839618.034163084,6375.787082866179
14500.0,4.0,0.1068204051187224,20151921.95079497,6739.674153094878
14700.0,4.0,0.1033010890957312,21535487.695401035,7084.533226671787
14900.0,4.0,0.09986077128736053,22985735.241463684,7402.421561142588
15100.0,4.0,0.09651166154152671,24496456.31985807,7685.17079285739
