T_K,rho_kg_m3,h_J_kg,cp_J_kgK
26700.0,0.03272606570294662,89044808.18477547,9803.088981715031
26900.0,0.03218429477299957,91032096.64843875,10055.033938002101
27100.0,0.03164896110778583,93066821.75997631,10276.250359741562
27300.0,0.031121157148379326,95142596.79233538,10464.566290733554
27500.0,0.030601920467386252,97252648.27626973,10618.30679152295
27700.0,0.030092216787021592,99389919.50894456,10736.328968485781
27900.0,0.02959292575741379,101547179.86366405,10818.044314809218
28100.0,0.029104829663505267,103717137.23486824,10863.427290756814
28300.0,0.028628605118767848,105892550.77996677,10873.009548963197
28500.0,0.028164817702930632,108066341.05445352,10847.859790590965
28700.0,0.027713919411679694,110231694.69620316,10789.549880152903
28900.0,0.027276248710855718,112382161.00651468,10700.10849777624
29100.0,0.026852032927434034,114511738.09531365,10581.964208824524
29300.0,0.026441392665300406,116614946.69004449,10437.880326021686
29500.0,0.026044347905684995,118686890.22572233,10270.884283012525
29700.0,0.02566082543960101,120723300.4032495,10059.598290362545
29900.0,0.025290667281582326,122710729.54186735,9901.240953323593
30000.0,0.025110529678916724,123693672.68924658,9829.431473792345
