T_K,P_atm,mu_Pa_s,kappa_W_mK,kappa_H_W_mK,kappa_e_W_mK,kappa_int_W_mK,kappa_reac_W_mK,sigma_S_m,nu_e_1_s,Astar_e,Bstar_e,Cstar_e,cp_frozen_J_kgK,cp_reac_J_kgK
6300.0,0.1,1.2977798720982445e-05,0.03145328008094106,0.009120912329309066,0.02198636003043858,2.2796301999326782e-08,0.00034598492489141733,305.0693412818668,1796284677.147907,1.0340658053185634,1.0461981477668552,0.7388299972733414,520.4190201958423,17.858733297690947
6500.0,0.1,8.458687696300236e-06,0.03541930724687898,0.005928445045332538,0.029145475928518905,2.608845838837584e-08,0.00034536018456914975,425.63387400451427,2030590007.538455,1.0421198289524047,1.057264298362543,0.6850555322562337,520.4748567814368,27.347364889448613
6700.0,0.1,5.6023315740946476e-06,0.0416121394645312,0.003919929857246695,0.037350685003850984,2.973891410036029e-08,0.0003414948645194219,576.2143713980086,2302622504.7342234,1.0498546042260806,1.0680744882288553,0.6356447006727216,520.5594555988393,40.82147659343104
6900.0,0.1,3.7786569461413218e-06,0.04948354664560858,0.002641255282351732,0.046506290569143155,3.387033351078458e-08,0.0003359669237801792,757.5080164435954,2623237958.7874446,1.0569414639418095,1.0780535056901865,0.5925013329473886,520.6845548798578,59.52852951394357
7100.0,0.1,2.596738016841307e-06,0.05883778330783951,0.0018140539809969598,0.056694012265379026,3.8586376850223905e-08,0.0003296784750866701,971.9389558520705,2993386004.8723116,1.0632159463568132,1.0869573841302762,0.5562720496500769,520.8654912554606,84.97168764181617
7300.0,0.1,1.8175497907934127e-06,0.06927056140336128,0.0012693536387665726,0.06767802736562611,4.397775591747941e-08,0.00032313642121267245,1215.7791440475,3431386696.710423,1.068648134745571,1.0947281681803853,0.5266858705534538,521.1219448666201,118.93068585452193
7500.0,0.1,1.2947166497890743e-06,0.08053817148745376,0.0009041433273489324,0.0793173543249501,5.012589642691631e-08,0.0003166237092582986,1484.4841028834717,3952893740.131835,1.073296506133069,1.1016413305297188,0.5030376955930855,521.4787604557731,163.47916064546712
7700.0,0.1,9.377266471337005e-07,0.09245325544200267,0.0006549088804337929,0.0914879914984256,5.710441438859146e-08,0.00031029795872888655,1772.2596558062667,4575014160.279894,1.0772521528380883,1.1077653008390858,0.48437965636195573,521.9668402365199,220.99784838580058
7900.0,0.1,6.898403267376102e-07,0.10488908093138297,0.0004819098643019584,0.10410285895840654,6.49790242752074e-08,0.0003042471296502053,2072.515194769261,5316955429.319015,1.0806162491130988,1.113068777073127,0.46973009344707495,522.624102110578,294.1831218630688
8100.0,0.1,5.149353942892044e-07,0.11798815360055905,0.0003598779335427884,0.11732968101210528,7.380635093923396e-08,0.0002985208485600343,2392.0685652990537,6164905535.400733,1.0834884728701046,1.1176781542758691,0.45826198320962064,523.496493679349,386.0503275767237
8300.0,0.1,3.89643696512498e-07,0.1316263275258414,0.00027248053838243284,0.13106061523911694,8.363196515610778e-08,0.0002931481163768836,2724.7991833825477,7138934729.076281,1.085955988503592,1.1217067850560782,0.44928823302556986,524.6390480009118,499.9312499548146
8500.0,0.1,2.98605019351008e-07,0.14579366779618297,0.00020898843794199307,0.145296437488015,9.44878750986982e-08,0.0002881473823508889,3069.599361764723,8246351000.359641,1.088091607172439,1.1252511278200692,0.44225753242686594,526.1169605361781,639.4646909843368
8700.0,0.1,2.315650449158816e-07,0.16049538618683146,0.00016224190092779537,0.16004950560158074,1.0638966140441218e-07,0.00028353229466153353,3426.643762915536,9490532579.924524,1.0899651075860206,1.1284290204753473,0.43675480765338964,528.0066573286027,808.5785159454896
8900.0,0.1,1.81575340964771e-07,0.17554192163004773,0.00012739087237371958,0.1751350964632776,1.1933345145057165e-07,0.0002793149609449751,3784.329270377835,10907297167.856833,1.0916693050522537,1.1314698941530121,0.4325243538352749,530.3968110737318,1011.4604485147496
9100.0,0.1,1.4386024869726243e-07,0.1910644026813775,0.00010110263332565195,0.1906876590003419,1.3329298008378303e-07,0.0002755077547298768,4146.561154985797,12489520726.469141,1.0931825501756325,1.1342111533257984,0.429203248901476,533.3892429793581,1252.513239236218
9300.0,0.1,1.1509297318321133e-07,0.20737539632484747,8.105593360699334e-05,0.20702206795922784,1.482170724489249e-07,0.0002721242149401924,4542.444179148883,14147108700.552607,1.0945354276997645,1.1367590140906807,0.42662082099011583,537.0996224965044,1536.2873911831452
9500.0,0.1,9.292636954725614e-08,0.2240949968796412,6.561326271579385e-05,0.223760040205994,1.640280075643881e-07,0.0002691793829238716,4939.306551466413,15973165397.234802,1.0957515616891798,1.1391654211197317,0.42463091110225093,541.657842185172,1867.3812118622982
