T_K,Q_Ar,Q_Ar_p,Q_Ar2_p,Q_Ar3_p,Q_Ar4_p,Q_e
8300.000000,1.0000025166669821e+00,5.5604700909160272e+00,8.6796071485804926e+00,4.2689008225010161e+00,7.4436051444453160e+00,2.0000000000000000e+00
8500.000000,1.0000039189225280e+00,5.5696084343371988e+00,8.7221269045431171e+00,4.2940307764108026e+00,7.5016393501602057e+00,2.0000000000000000e+00
8700.000000,1.0000059962562728e+00,5.5783765067130302e+00,8.7642498611986319e+00,4.3202403040691353e+00,7.5585964165107509e+00,2.0000000000000000e+00
8900.000000,1.0000090240236248e+00,5.5867962402847358e+00,8.8059807532833378e+00,4.3475010270117638e+00,7.6145291027569320e+00,2.0000000000000000e+00
9100.000000,1.0000133698086453e+00,5.5948878808904805e+00,8.8473233928540065e+00,4.3757832259861837e+00,7.6694852078000277e+00,2.0000000000000000e+00
9300.000000,1.0000195174212145e+00,5.6026701463216506e+00,8.8882808838561118e+00,4.4050561131254593e+00,7.7235081622282040e+00,2.0000000000000000e+00
9500.000000,1.0000280951888807e+00,5.6101603674399501e+00,8.9288557972196294e+00,4.4352880770463727e+00,7.7766375445227975e+00,2.0000000000000000e+00
9700.000000,1.0000399088753724e+00,5.6173746142155787e+00,8.9690503132131720e+00,4.4664469025725007e+00,7.8289095315336565e+00,2.0000000000000000e+00
9900.000000,1.0000559795068822e+00,5.6243278085508157e+00,9.0088663366691915e+00,4.4984999668468246e+00,7.8803572919546072e+00,2.0000000000000000e+00
10100.000000,1.0000775863251199e+00,5.6310338255014338e+00,9.0483055897597460e+00,4.5314144136087169e+00,7.9310113303402305e+00,2.0000000000000000e+00
10300.000000,1.0001063150149698e+00,5.6375055842944990e+00,9.0873696862214430e+00,4.5651573073814413e+00,7.9808997881782426e+00,2.0000000000000000e+00
10500.000000,1.0001441112758955e+00,5.6437551303577074e+00,9.1260601902783360e+00,4.5996957692597267e+00,8.0300487076456903e+00,2.0000000000000000e+00
10700.000000,1.0001933397225835e+00,5.6497937094193693e+00,9.1643786629668416e+00,4.6349970959113946e+00,8.0784822629138109e+00,2.0000000000000000e+00
10900.000000,1.0002568480137668e+00,5.6556318346029224e+00,9.2023266981144065e+00,4.6710288633195329e+00,8.1262229632082477e+00,2.0000000000000000e+00
