T_K,P_atm,pair,interaction,lambda_D_m,Tstar,Q11_m2,Q22_m2,Q11_A2,Q22_A2,Ast,Bst,Cst,source
21300.0,1.0,e-__Ar4+,attraction,2.400413639246119e-08,7.649389704994299,3.4307810201657595e-17,3.802658599085001e-17,3430.7810201657594,3802.6585990850012,1.10826129400611,1.2152005397866967,0.4482683646229692,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar+__Ar+,repulsion,2.400413639246119e-08,30.597558819977195,3.0020652249595642e-18,3.493322983376536e-18,300.20652249595645,349.3322983376536,1.1651655533046315,1.2080304206007517,0.440447643948436,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar+__Ar2+,repulsion,2.400413639246119e-08,15.298779409988597,9.423705701768003e-18,1.1257398117059762e-17,942.3705701768002,1125.7398117059763,1.1967690789453254,1.2450406545185777,0.4629511695891299,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar+__Ar3+,repulsion,2.400413639246119e-08,10.199186273325731,1.792152312515064e-17,2.181015276365394e-17,1792.1523125150638,2181.015276365394,1.2173012627206379,1.2685561470475681,0.4781601946078799,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar+__Ar4+,repulsion,2.400413639246119e-08,7.649389704994299,2.7973965536169124e-17,3.448588577682262e-17,2797.3965536169126,3448.588577682262,1.2331236675856134,1.2860729187051803,0.4907186345163175,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar2+__Ar2+,repulsion,2.400413639246119e-08,7.649389704994299,2.7973965536169124e-17,3.448588577682262e-17,2797.3965536169126,3448.588577682262,1.2331236675856134,1.2860729187051803,0.4907186345163175,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar2+__Ar3+,repulsion,2.400413639246119e-08,5.0995931366628655,5.148111628208739e-17,6.459889933366128e-17,5148.111628208739,6459.8899333661275,1.256023408502314,1.3108848333676724,0.5105411694281797,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar2+__Ar4+,repulsion,2.400413639246119e-08,3.8246948524971494,7.805496470266274e-17,9.924414717477424e-17,7805.496470266275,9924.414717477424,1.2722245756568151,1.3279051790515604,0.5255991451041058,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar3+__Ar3+,repulsion,2.400413639246119e-08,3.399728757775244,9.272591581078012e-17,1.1832194674228693e-16,9272.591581078012,11832.194674228693,1.2785967632109019,1.3342263891052144,0.5324301301620867,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar3+__Ar4+,repulsion,2.400413639246119e-08,2.5497965683314328,1.3852206316005444e-16,1.7872202670465387e-16,13852.206316005444,17872.202670465387,1.2941606694338583,1.3496657840783874,0.5491146376330963,Mason1967 Table I/II + electron-only Debye length
21300.0,1.0,Ar4+__Ar4+,repulsion,2.400413639246119e-08,1.9123474262485747,2.0130338866423075e-16,2.633788984170822e-16,20130.338866423073,26337.88984170822,1.3092655226657914,1.364361642516804,0.5660642320425843,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,e-__e-,repulsion,2.4181574739876e-08,31.11316043132863,2.96210111414783e-18,3.4448564643954515e-18,296.210111414783,344.4856464395451,1.1644567664917373,1.2071866267758777,0.4399582435300091,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,e-__Ar+,attraction,2.4181574739876e-08,31.11316043132863,3.2056613120262793e-18,3.54785347445659e-18,320.56613120262796,354.78534744565894,1.1069936127790665,1.1665394810553789,0.41971345310379843,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,e-__Ar2+,attraction,2.4181574739876e-08,15.556580215664315,1.0583054783858465e-17,1.1753010878644547e-17,1058.3054783858465,1175.3010878644548,1.1105724950101479,1.1886806387431144,0.43251964073064686,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,e-__Ar3+,attraction,2.4181574739876e-08,10.371053477109543,2.0972481070001933e-17,2.3294167655461204e-17,2097.248107000193,2329.4167655461206,1.1106894875102922,1.2030122200107827,0.4409431007410315,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,e-__Ar4+,attraction,2.4181574739876e-08,7.778290107832158,3.386403503602959e-17,3.7542165751755157e-17,3386.403503602959,3754.2165751755156,1.1084994518103013,1.2144918751010547,0.4478327101031073,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar+__Ar+,repulsion,2.4181574739876e-08,31.11316043132863,2.96210111414783e-18,3.4448564643954515e-18,296.210111414783,344.4856464395451,1.1644567664917373,1.2071866267758777,0.4399582435300091,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar+__Ar2+,repulsion,2.4181574739876e-08,15.556580215664315,9.308196691883689e-18,1.1112196553129572e-17,930.8196691883688,1111.2196553129572,1.1959228742809518,1.2440714970397224,0.4623243513192235,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar+__Ar3+,repulsion,2.4181574739876e-08,10.371053477109543,1.7722400884527507e-17,2.1548614372074817e-17,1772.2400884527506,2154.8614372074817,1.2164550580562643,1.267586989568713,0.47753337633797355,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar+__Ar4+,repulsion,2.4181574739876e-08,7.778290107832158,2.766829324842395e-17,3.4085728163213817e-17,2766.829324842395,3408.5728163213817,1.2321826538227119,1.285038965311375,0.48992864765363464,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar2+__Ar2+,repulsion,2.4181574739876e-08,7.778290107832158,2.766829324842395e-17,3.4085728163213817e-17,2766.829324842395,3408.5728163213817,1.2321826538227119,1.285038965311375,0.48992864765363464,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar2+__Ar3+,repulsion,2.4181574739876e-08,5.185526738554771,5.097011629996953e-17,6.391199437816932e-17,5097.011629996953,6391.199437816932,1.2550754963126718,1.3098792221751823,0.5096839271001554,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar2+__Ar4+,repulsion,2.4181574739876e-08,3.889145053916079,7.727654431123042e-17,9.820774067191258e-17,7727.654431123042,9820.774067191258,1.27132051084445,1.3270083467576943,0.5246299876252505,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar3+__Ar3+,repulsion,2.4181574739876e-08,3.457017825703181,9.185299172030396e-17,1.171451293815526e-16,9185.299172030396,11714.51293815526,1.2776926983985368,1.3333295568113483,0.5314609726832314,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar3+__Ar4+,repulsion,2.4181574739876e-08,2.5927633692773857,1.3745766921989034e-16,1.7721559985254302e-16,13745.766921989034,17721.559985254302,1.2932566046214935,1.3487689517845214,0.548145480154241,Mason1967 Table I/II + electron-only Debye length
21500.0,1.0,Ar4+__Ar4+,repulsion,2.4181574739876e-08,1.9445725269580394,1.9957021900388075e-16,2.610197431615638e-16,19957.021900388074,26101.97431615638,1.3085326274579008,1.3637420567653964,0.5649962301442437,Mason1967 Table I/II + electron-only Debye length
21700.0,1.0,e-__e-,repulsion,2.4353878297854297e-08,31.626341374661276,2.922771091687562e-18,3.397240311380942e-18,292.27710916875617,339.7240311380942,1.1637628758892853,1.2063605665348633,0.43947912859022076,Mason1967 Table I/II + electron-only Debye length
21700.0,1.0,e-__Ar+,attraction,2.4353878297854297e-08,31.626341374661276,3.1600861024836794e-18,3.4970284827857145e-18,316.0086102483679,349.7028482785714,1.1068638033126215,1.1660485652550046,0.41943259262185356,Mason1967 Table I/II + electron-only Debye length
21700.0,1.0,e-__Ar2+,attraction,2.4353878297854297e-08,15.813170687330638,1.0438856685132587e-17,1.1592815710129304e-17,1043.8856685132587,1159.2815710129305,1.1105677746659135,1.1881023965744042,0.43217977594577234,Mason1967 Table I/II + electron-only Debye length
21700.0,1.0,e-__Ar3+,attraction,2.4353878297854297e-08,10.542113791553758,2.0700133180809293e-17,2.2991527424001286e-17,2070.0133180809294,2299.152742400129,1.1106847671660578,1.2024339778420725,0.44060323595615697,Mason1967 Table I/II + electron-only Debye length
