T_K,P_atm,pair,category,interaction,lambda_D_m,Tstar,Q11_m2,Q22_m2,Q14_m2,Q15_m2,Q11_A2,Q22_A2,Q14_A2,Q15_A2,Ast,Bst,Cst,source,notes
25500.0,4.0,e-__Ar2+,charged-charged,attraction,1.3941975729060879e-08,10.63789247428544,6.682395712434413e-18,7.42207593917301e-18,1.0856622890321917e-18,7.658651502839394e-19,668.2395712434413,742.207593917301,108.56622890321917,76.58651502839393,1.1106821575280665,1.2021142971881396,0.44041534202078414,Mason1967 table + Debye-Huckel screening,
25700.0,4.0,e-__Ar2+,charged-charged,attraction,1.4002395068363449e-08,10.767789169859842,6.605230774852204e-18,7.336336213442358e-18,1.071844446232597e-18,7.560007023141229e-19,660.5230774852204,733.6336213442358,107.1844446232597,75.60007023141229,1.1106786555864414,1.20168530933906,0.4401632022237741,Mason1967 table + Debye-Huckel screening,
25900.0,4.0,e-__Ar2+,charged-charged,attraction,1.4060956863495733e-08,10.896969452429596,6.529190041698625e-18,7.251846728300717e-18,1.0582706278057235e-18,7.463139958690457e-19,652.9190041698625,725.1846728300717,105.82706278057235,74.63139958690458,1.110675214607199,1.201263789381863,0.4399154517183195,Mason1967 table + Debye-Huckel screening,
26100.0,4.0,e-__Ar2+,charged-charged,attraction,1.4117863902522546e-08,11.025558343488209,6.45428532208298e-18,7.168620493084641e-18,1.0449386424073968e-18,7.368031102590561e-19,645.428532208298,716.8620493084641,104.49386424073968,73.68031102590561,1.110671829656617,1.2008491329355768,0.4396717352764206,Mason1967 table + Debye-Huckel screening,
26300.0,4.0,e-__Ar2+,charged-charged,attraction,1.4173337902653786e-08,11.153700615074582,6.380529029870075e-18,7.086671191550955e-18,1.031846501635435e-18,7.274662775050757e-19,638.0529029870074,708.6671191550955,103.1846501635435,72.74662775050757,1.1106684955095718,1.2004406999225532,0.43943167668917416,Mason1967 table + Debye-Huckel screening,
26500.0,4.0,e-__Ar2+,charged-charged,attraction,1.4227614671129024e-08,11.281557519073022,6.307933423294928e-18,7.006012338125242e-18,1.0189923272977265e-18,7.183018197316654e-19,630.7933423294928,700.6012338125242,101.89923272977265,71.83018197316655,1.1106652067483334,1.2000378266708447,0.43919488588000666,Mason1967 table + Debye-Huckel screening,
26700.0,4.0,e-__Ar2+,charged-charged,attraction,1.4280939125019283e-08,11.4093032300442,6.236509905006016e-18,6.926656501199782e-18,1.006374265885178e-18,7.093080914043766e-19,623.6509905006016,692.6656501199782,100.6374265885178,70.93080914043766,1.1106619578623103,1.1996398381329945,0.43896096608633145,Mason1967 table + Debye-Huckel screening,
26900.0,4.0,e-__Ar2+,charged-charged,attraction,1.433356035251844e-08,11.537121142630037,6.166268401436336e-18,6.848614614447867e-18,9.939904123854179e-19,7.004834278328813e-19,616.6268401436336,684.8614614447866,99.39904123854178,70.04834278328812,1.1106587433453488,1.199246059805232,0.4387295208651159,Mason1967 table + Debye-Huckel screening,
27100.0,4.0,e-__Ar2+,charged-charged,attraction,1.4385726879124016e-08,11.665200157769318,6.0972168353223e-18,6.771895391486394e-18,9.81838744995321e-19,6.918261009763196e-19,609.7216835322299,677.1895391486394,98.1838744995321,69.18261009763195,1.1106555577875858,1.1988558289792646,0.4385001607061801,Mason1967 table + Debye-Huckel screening,
27300.0,4.0,e-__Ar2+,charged-charged,attraction,1.4437682276149396e-08,11.793731078579489,6.029360699940684e-18,6.696504853394364e-18,9.699170716930753e-19,6.833342831892253e-19,602.9360699940685,669.6504853394364,96.99170716930753,68.33342831892253,1.1106523959593557,1.1984685050210688,0.4382725090736078,Mason1967 table + Debye-Huckel screening,
27500.0,4.0,e-__Ar2+,charged-charged,attraction,1.4489661219236511e-08,11.922903218841306,5.962702738605787e-18,6.6224459730166686e-18,9.582229890583461e-19,6.750060191650811e-19,596.2702738605786,662.2445973016669,95.82229890583461,67.5006019165081,1.1106492528852319,1.1980834784409113,0.438046207736699,Mason1967 table + Debye-Huckel screening,
27700.0,4.0,e-__Ar2+,charged-charged,attraction,1.4541886073619907e-08,12.05290130655148,5.897242728455036e-18,6.54971843497468e-18,9.46753853215484e-19,6.668392059922787e-19,589.7242728455036,654.9718434974681,94.6753853215484,66.68392059922787,1.1106461239068623,1.197700178590645,0.43782092129409333,Mason1967 table + Debye-Huckel screening,
27900.0,4.0,e-__Ar2+,charged-charged,attraction,1.459456405297114e-08,12.183902743703367,5.832977363735667e-18,6.47831850607206e-18,9.355067623406393e-19,6.588315809479938e-19,583.2977363735667,647.831850607206,93.55067623406393,65.88315809479937,1.1106430047338254,1.1973180798936172,0.43759634083543214,Mason1967 table + Debye-Huckel screening,
